Date,Activity,Route number,Name,Elapsed seconds,Distance (km),Pace,Weight,Steps,Notes
2025-05-03,,143114,Reservoir Basic,1089,3.40,5.34,157,,"53F, cloudy, took it slow. HR stayed at 150 uphill but climbed to 189 downhill(!).  (ring)"
2025-05-01,,242812,Greenlake out-and-back 5k,2037,4.90,5.50,159,,"65F,sunny, took slow, HRmax = 176 tried for 150-160. (ring)"
2025-04-27,,,,,6.30,,159,,"53F, cldy, ravenna -> woodlawn -> 80th -->20th -- home. (ring)
"
2025-04-24,,866647,Reverse Latona,1032,3.28,5.25,159,,"60F, sunny, (ring)
"
2025-04-21,,143114,Reservoir Basic,,3.40,,159,,"50F, ptly sunny, (ring)"
2025-04-13,,143116,Greenlake 3k,1159,3.90,4.95,158,,"55F, sunny, glorious
"
2025-04-10,,,,1440,,,158,,"55F, down to campus and back."
2025-04-06,,,,1446,,,158,,"55F, wet, down to cherry blossoms, circled Hub lawn back on 15th."
2025-04-01,,143114,Reservoir Basic,1006,3.40,4.93,157,,"46F, wet, cloudy, Timex (ring)"
2025-03-27,,143116,Greenlake 3k,1164,3.90,4.97,158,,"47F, ptly sunny, (ring, timex)
"
2025-03-19,,,,,10.00,,159,,"53F, sunny, Central Park top to bottom and back. (ring)"
2025-03-07,,,,1741,,,158,,"45F, cldy, 70th to Greenlake and back. (Timex) (ring) Run-Walk (RW) 3 walks."
2025-03-05,,234220,Upper Reservoir Park,1405,4.62,5.07,158,,"51F, sunny, Timex"
2025-02-28,,143114,Reservoir Basic,1029,3.40,5.04,159,,"60F, sunny, Timex (ring)
"
2025-02-26,,242812,Greenlake out-and-back 5k,1518,4.90,5.16,159,,"53F, sunny, Timex Time (ring)"
2025-02-22,,143114,Reservoir Basic,1154,3.40,5.65,160,,"52F, light rain. Timex"
2025-02-17,,,,,4.79,,160,,"47F, wet, cldy, 9th to 65th, 70th to 18t to 80th back via 17th. (ring)"
2025-02-15,,970669,20th to 85th Loop,,5.67,,158,,"42f, cloudy (ring)
"
2025-02-09,,143114,Reservoir Basic,,3.40,,158,,"40F, waited till 11 till ice melted(!) ptly cldy.  L Knee issue: paused last wk. "
2025-02-01,,242812,Greenlake out-and-back 5k,,4.90,,158,,"40F, cloudy (ring)"
2025-01-28,,,,,4.57,,158,,"60F, sunny, up & down Crest Canyon to Viewpoint Brewing (ring)"
2025-01-26,,,,,5.64,,158,,"60F, cloudy, Torry Pines with Alec! (ring)"
2025-01-24,,,,,6.00,,159,,"40F, Sunny, 15th => 70th => GL pond. (ring)
"
2025-01-24,,,,,7.25,,158,,"50F, Delmar to beach from Marriott (ring)"
2025-01-18,,653902,45th to 65th loop,,3.08,,159,,"18F, sunny"
2025-01-14,,970669,20th to 85th Loop,,5.67,,159,,"38F, cloudy"
2025-01-09,,143116,Greenlake 3k,,3.90,,158,,"50F, sunny, tired after flight from NYC"
2024-12-31,,866647,Reverse Latona,,3.28,,158,,"42F, cloudy, 159bpm avg, (ring)"
2024-12-23,,,,,3.25,,158,,"60F, North Park to El Cajon. "
2024-12-21,,,,,8.60,,158,,"65F, sunny, Balboa Pk NtoS and back (ring)"
2024-12-18,,,,,5.41,,158,,"50F, sunny,   15th to 70th to Greenlake turnaround.  Out of gas at Spudds (?) (ring)"
2024-12-15,,,,,5.23,,157,,"45F, cldy, 52nd, 55th, BGT, home via ravine."
2024-12-12,,653902,45th to 65th loop,1150,3.08,6.22,157,,"45F, cloudy, wet, (ring)"
2024-12-08,,970669,20th to 85th Loop,,5.67,,156,,"45F, cloudy, slight gut cramps. extra stops (ring)"
2024-11-30,,,,,4.80,,157,,"43F, sunny, 52nd to 20th to 75th to 15th (ring)"
2024-11-28,,242812,Greenlake out-and-back 5k,,4.90,,157,,"35F, foggy, modified (avoid race) (ring)"
2024-11-23,,866647,Reverse Latona,,3.28,,158,,"50F, cloudy, (ring)"
2024-11-21,,143114,Reservoir Basic,,3.40,,158,,"43, cloudy, (ring)"
2024-11-14,,970669,20th to 85th Loop,,5.67,,156,,"50F, wet. "
2024-11-10,,143117,Greenlake 5k,,5.01,,155,,"51F, cloudy (ring)"
2024-11-06,,,,,,,155,,"55F, cldy, 45th-65th route++ (ring)"
2024-11-02,,,,,6.07,,155,,"50F, partly cloudy, to GL, up to 80th, up and over to Res. down 20th to bridge."
2024-10-31,,143116,Greenlake 3k,,3.90,,155,,"52F, partly sunny, (ring)"
2024-10-24,,,,2700,7.82,5.75,157,,"56F, Sunny, Gasworks-Westlake-SLU/MHI, "
2024-10-19,,143114,Reservoir Basic,1052,3.40,5.15,156,,"65F, cloudy, 2:30PM (ring)"
2024-10-15,,970669,20th to 85th Loop,1722,5.50,5.22,156,,"59F, cloudy"
2024-10-12,,143116,Greenlake 3k,,3.90,,156,,"60F?  no timing went well tho.
"
2024-10-10,,,,,2.40,,155,,"52F, cloudy, 1st post-Covid Run
"
2024-09-15,,970669,20th to 85th Loop,2040,5.67,5.99,156,,"65F, cloudy, with Alec!"
2024-09-12,,970669,20th to 85th Loop,,5.67,,156,,"62F, sunny, 20th -> 85th -> 12th (fbit)"
